code,name,cost,nav,shares,value,pnl,pnl_pct
003096,中欧医疗C,280.0,1.8294,144.99,265.24,-14.76,-5.27
009478,中银上海金C,439.34,1.9364,214.52,415.4,-23.94,-5.45
011103,天弘光伏C,8.75,0.678,9.73,6.6,-2.15,-24.57
011613,华夏科创50ETF联接C,1401.98,1.3446,837.18,1125.67,-276.31,-19.71
011712,大摩万众创新C,517.97,1.2582,339.12,426.68,-91.29,-17.62
012329,天弘新能源C,5.09,0.6037,6.42,3.88,-1.21,-23.77
013403,华夏恒生科技C,150.0,0.7558,189.73,143.4,-6.6,-4.4
014871,大摩科技领先C,618.05,2.943,179.31,527.71,-90.34,-14.62
017103,大摩数字经济C,585.17,3.891,130.75,508.75,-76.42,-13.06
020233,大摩景气智选C,499.68,1.4395,316.15,455.1,-44.58,-8.92
024418,华夏半导体材料设备C,1325.37,2.2889,405.16,927.37,-398.0,-30.03
025857,华夏电网设备C,127.09,1.0852,101.07,109.68,-17.41,-13.7
026449,大摩沪港深C,252.83,1.2724,191.64,243.84,-8.99,-3.56
163302,大摩资源优选,214.46,1.0718,185.09,198.38,-16.08,-7.5
合计,,6425.780000000001,,,5357.7,-1068.08,
